thrust,airspeed,RPM
74.43598013,19.13328028,12000
71.22607631,20.87673339,12000
67.87679509,22.6201865,12000
64.37546579,24.36363961,12000
60.71364131,26.10709272,12000
56.94622788,27.85054583,12000
53.09011974,29.59399894,12000
49.14531689,31.29274813,12000
45.11181932,33.03620124,12000
41.01074484,34.77965435,12000
36.81252853,36.52310746,12000
32.52139395,38.26656057,12000
28.12467043,40.01001368,12000
23.64347576,41.75346679,12000
19.06513926,43.4969199,12000
14.42767295,45.24037301,12000
9.705735493,46.98382612,12000
4.907773996,48.72727923,12000
-0.004223558,50.42602841,12000
